root;HAVE_CRYPTO;HAVE_HASH;HAVE_REPLICATION;HAVE_VERIFY;HAVE_SEQUENCE;HAVE_STATISTICS;DIAGNOSTIC;PAGESIZE;PS1K;PS4K;PS8K;PS16K;PS32K;CACHESIZE;CS32MB;CS16MB;CS64MB;CS512MB;Performance
1;0;0;1;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0.478703692307692
1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;5.84551712820513
1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0.478544333333333
1;1;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1;10.7223165128205
1;1;0;0;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;3.28335443589744
1;1;1;0;1;1;1;1;1;0;0;1;0;0;1;0;0;0;1;10.9232195641026
1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;1;10.9074773947368
1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0.482040052631579
1;1;1;1;1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;10.9182551621622
1;0;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0.373442538461538
1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;2.07724035897436
1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;10.9305218421053
1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0.5044075
1;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;1;0;0;0.499730846153846
1;1;1;1;1;1;0;1;1;0;0;1;0;0;1;0;1;0;0;10.9060613513514
1;0;1;0;0;1;1;1;1;0;0;1;0;0;1;0;1;0;0;0.755023736842105
1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0.480289820512821
1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0.50964341025641
1;0;0;0;1;1;0;1;1;0;0;1;0;0;1;0;0;1;0;0.515384820512821
1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;0;1;0;10.928463051282
1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0.617643846153846
1;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1.26100805405405
1;0;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1.24799484615385
1;0;0;0;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0;0.643477384615385
1;0;0;1;1;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0.623675923076923
1;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;3.24620338461538
1;1;0;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0;19.9591601052632
1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0;21.1745932777778
1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0.61270082051282
1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1.25254310810811
1;0;0;0;1;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0.583304384615385
1;0;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;1;0;0.642781461538462
1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;1;0;21.1979781
1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0.616064289473684
1;0;0;0;0;1;1;1;1;0;0;0;1;0;1;1;0;0;0;0.635847051282051
1;1;1;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;21.2787934871795
1;1;0;0;1;1;1;1;1;0;0;0;1;0;1;1;0;0;0;19.9186247692308
1;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;1;20.0170546410256
1;0;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;0;1;1.26717217948718
1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;0;1;21.1878737631579
1;0;0;0;1;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0.953329289473684
1;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0.918402710526316
1;0;0;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0.925223552631579
1;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;1;0;0;3.30452894871795
1;1;1;1;1;1;1;0;1;0;0;0;0;1;1;1;0;0;0;39.0424066578947
1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;38.8715203333333
1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0.909833076923077
1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;1;0.922134763157895
1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;37.8258803157895
1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;37.6791567027027
1;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;37.7720890540541
1;1;1;1;1;1;1;0;1;0;0;0;0;1;1;0;0;0;1;38.9853895641026
1;1;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;1;37.5821981621622
1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;1;38.8810875789474
